,question,Labels
46,would you sign an agreement with north korea that entailed partial sanctions relief in exchange for some dismantling of its nuclear weapons program but not full denuclearization?,foreign policy
47,"would you commit to the full withdrawal of u.s. troops from afghanistan by the end of your first term, or would you require certain conditions be met before doing so?",foreign policy
48,what has been the greatest foreign policy accomplishment of the united states since world war ii? what has been the biggest mistake?,foreign policy
49,what are your views on healthcare reform in the united states?,domestic policy
50,should there be stricter gun control measures? why or why not?,domestic policy
51,how do you plan to address income inequality?,domestic policy
52,what is your stance on raising the federal minimum wage?,domestic policy
53,should social security be privatized?,domestic policy
54,what are your views on universal basic income?,domestic policy
55,how do you plan to improve the quality of public education?,domestic policy
56,what role should the federal government play in affordable housing?,domestic policy
57,should college education be free for all americans? why or why not?,domestic policy
58,how do you approach funding infrastructure projects?,domestic policy
59,what is your approach to relations with china?,foreign policy
60,should the united states provide more or less foreign aid?,foreign policy
61,how would you address concerns about national security and cyber threats?,foreign policy
62,what is your stance on nato and its role in u.s. foreign policy?,foreign policy
63,should the u.s. increase its military presence abroad?,foreign policy
64,how do you view america’s role in global climate agreements?,foreign policy
65,what is your approach to handling relations with russia?,foreign policy
66,should the u.s. continue to support israel? why or why not?,foreign policy
67,what steps would you take to address international trade disputes?,foreign policy
68,how would you handle conflicts in the middle east?,foreign policy
69,what is your stance on renewable energy investments?,environmental policy
70,how do you address climate change on a national level?,environmental policy
71,should the u.s. ban fracking?,environmental policy
72,what are your views on nuclear energy as a solution for energy needs?,environmental policy
73,how should the government handle the regulation of carbon emissions?,environmental policy
74,should corporations have stricter environmental accountability measures?,environmental policy
75,what role should the u.s. play in global environmental issues?,environmental policy
76,should the government subsidize electric vehicles and clean energy technology?,environmental policy
77,how do you balance economic growth with environmental sustainability?,environmental policy
78,what are your thoughts on the green new deal?,environmental policy
79,what is your position on abortion rights?,social issues
80,should affirmative action be continued or abolished?,social issues
81,how do you plan to address racial inequality in the justice system?,social issues
82,what are your views on police reform?,social issues
83,should lgbtq+ rights be expanded or limited?,social issues
84,what are your thoughts on religious freedoms versus anti-discrimination laws?,social issues
85,should there be more or less federal oversight on state laws?,social issues
86,how do you handle debates around immigration and border security?,social issues
87,should critical race theory be taught in schools?,social issues
88,what is your stance on reparations for slavery?,social issues
89,should the federal corporate tax rate be increased or decreased?,economy and taxation
90,what is your view on capital gains taxation?,economy and taxation
91,how would you tackle national debt while maintaining social programs?,economy and taxation
92,should there be a wealth tax on the ultra-rich?,economy and taxation
93,how do you ensure that tax policies do not disproportionately impact middle-class americans?,economy and taxation
94,what are your thoughts on deregulation in industries like banking and finance?,economy and taxation
95,should subsidies for big corporations be reduced or expanded?,economy and taxation
96,how do you encourage small business growth?,economy and taxation
97,"should cryptocurrencies be regulated, and if so, how?",economy and taxation
98,how do you address the issue of inflation while supporting economic recovery?,economy and taxation
99,what is your plan to address the backlog in the u.s. immigration system and ensure that those seeking asylum or legal immigration are processed efficiently and humanely?,immigration
